acc,accm,amloc,anpm,cbo,dit,lcom4,loc,noa,noc,nom,npa,npm,rfc,sc, good_design
0,1.1111111111,3.5555555556,1.3333333333,3,9,8,32,0,0,9,0,9,14,24,1
0,5.6666666667,22.3333333333,1.3333333333,7,9,8,201,1,0,9,1,9,27,56,1
0,3.4444444444,14,1.4444444444,6,10,8,126,0,0,9,0,9,19,48,1
3,1.9032258065,11.0967741935,1.6451612903,21,9,27,344,0,0,31,0,29,91,567,0
3,4.5384615385,23.6239316239,1.0341880342,46,10,33,2764,34,0,117,15,80,627,1518,0
0,13,95.5,1,11,1,2,191,2,0,2,0,2,25,22,1
1,0,0,0,0,0,0,0,2,0,0,2,0,0,0,1
0,1.8571428571,9.8571428571,1.5,8,10,24,276,1,0,28,0,27,57,192,1
1,1.3043478261,6.347826087,1.6086956522,9,9,20,146,1,0,23,1,22,43,180,1
0,1.6666666667,7.4444444444,1.3333333333,3,9,8,67,1,0,9,1,9,17,24,1
0,1.6818181818,11,1.7272727273,9,9,18,242,0,0,22,0,20,63,162,1
